model,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,ETS,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive,SeasonalNaive
crop,Avocado,Basil,Bell Pepper,Blackberry,Blueberry,Cabbage,Carrot,Cauliflower,Celery,Chayote,Citrus Fruit,Coconut,Coriander,Corn,Cucumber,Eggplant,Garlic,Grape,Grapefruit,Lemon,Lettuce,Lime,Mango,Okra,Onion,Parsley,Peach,Peanut,Pineapple,Plum,Potato,Pumpkin,Rosemary,Spinach,Strawberry,Sugarcane,Tomato,Walnut,Watermelon,Zucchini,Avocado,Basil,Bell Pepper,Blackberry,Blueberry,Cabbage,Carrot,Cauliflower,Celery,Chayote,Citrus Fruit,Coconut,Coriander,Corn,Cucumber,Eggplant,Garlic,Grape,Grapefruit,Lemon,Lettuce,Lime,Mango,Okra,Onion,Parsley,Peach,Peanut,Pineapple,Plum,Potato,Pumpkin,Rosemary,Spinach,Strawberry,Sugarcane,Tomato,Walnut,Watermelon,Zucchini
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-04,6.862384334341365,2.6359124241045717,4.135416716486528,1.1323161019290884,7.549019754746083,5.576504543259476,0.3787193296827127,3.0195096051442354,2.6445523313055905,0.3775327857474238,11.361579890481384,13.213647501159834,2.6359124241045717,13.600554846714468,4.906862840584955,2.631835448633473,12.011969989365111,6.40117168040522,2.2723159780962767,14.685040913870797,3.400138711678617,5.069549584781342,5.661764816059563,1.1203523537978444,14.39448195310435,1.476357123395318,3.388855595508646,11.437307223902277,9.632144211084553,1.5097548025721177,0.187973487113024,4.57492288956091,2.614155492194971,5.255236870347236,11.323529632119126,1.1203523537978444,16.541666865946112,3.012471341833796,3.397058889635737,3.0078119412953983,6.862384334341365,2.6359124241045717,4.135416716486528,1.1323161019290884,7.549019754746083,5.576504543259476,0.3787193296827127,3.0195096051442354,2.6445523313055905,0.3775327857474238,11.361579890481384,13.213647501159834,2.6359124241045717,13.600554846714468,4.906862840584955,2.631835448633473,12.011969989365111,6.40117168040522,2.2723159780962767,14.685040913870797,3.400138711678617,5.069549584781342,5.661764816059563,1.1203523537978444,14.39448195310435,1.476357123395318,3.388855595508646,11.437307223902277,9.632144211084553,1.5097548025721177,0.187973487113024,4.57492288956091,2.614155492194971,5.255236870347236,11.323529632119126,1.1203523537978444,16.541666865946112,3.012471341833796,3.397058889635737,3.0078119412953983
2026-01-11,6.862384334341365,2.2593535063753465,3.75946974226048,1.1323161019290884,7.549019754746083,5.576504543259476,0.3787193296827127,3.396948305787265,2.6445523313055905,0.7550655714948477,10.982860560798668,12.836114715412412,2.6359124241045717,14.356141227087493,4.906862840584955,2.631835448633473,11.636595927197453,6.40117168040522,2.2723159780962767,13.931961892646656,3.400138711678617,5.069549584781342,6.416666791534171,1.1203523537978444,13.65630339140669,1.1072678425464884,3.388855595508646,12.199794372162428,9.632144211084553,1.5097548025721177,0.187973487113024,4.57492288956091,2.614155492194971,6.0059849946825565,13.58823555854295,1.1203523537978444,15.413825943267966,2.6359124241045717,3.0196079018984334,3.0078119412953983,6.862384334341365,2.2593535063753465,3.75946974226048,1.1323161019290884,7.549019754746083,5.576504543259476,0.3787193296827127,3.396948305787265,2.6445523313055905,0.7550655714948477,10.982860560798668,12.836114715412412,2.6359124241045717,14.356141227087493,4.906862840584955,2.631835448633473,11.636595927197453,6.40117168040522,2.2723159780962767,13.931961892646656,3.400138711678617,5.069549584781342,6.416666791534171,1.1203523537978444,13.65630339140669,1.1072678425464884,3.388855595508646,12.199794372162428,9.632144211084553,1.5097548025721177,0.187973487113024,4.57492288956091,2.614155492194971,6.0059849946825565,13.58823555854295,1.1203523537978444,15.413825943267966,2.6359124241045717,3.0196079018984334,3.0078119412953983
2026-01-18,6.099897186081214,2.2593535063753465,3.75946974226048,1.5097548025721177,7.171568767008779,5.576504543259476,0.3787193296827127,3.0195096051442354,2.6445523313055905,0.7550655714948477,10.604141231115957,13.213647501159834,3.012471341833796,13.222761656527954,4.906862840584955,2.255858955971549,11.636595927197453,5.648092659181075,2.2723159780962767,14.308501403258726,3.022345521492104,5.069549584781342,6.039215803796867,1.1203523537978444,12.549035548860202,1.1072678425464884,3.388855595508646,11.437307223902277,9.632144211084553,1.1323161019290884,0.0,4.57492288956091,2.2407047075956887,5.630610932514896,15.47549049722947,1.1203523537978444,17.29356081439821,3.012471341833796,3.0196079018984334,3.0078119412953983,6.099897186081214,2.2593535063753465,3.75946974226048,1.5097548025721177,7.171568767008779,5.576504543259476,0.3787193296827127,3.0195096051442354,2.6445523313055905,0.7550655714948477,10.604141231115957,13.213647501159834,3.012471341833796,13.222761656527954,4.906862840584955,2.255858955971549,11.636595927197453,5.648092659181075,2.2723159780962767,14.308501403258726,3.022345521492104,5.069549584781342,6.039215803796867,1.1203523537978444,12.549035548860202,1.1072678425464884,3.388855595508646,11.437307223902277,9.632144211084553,1.1323161019290884,0.0,4.57492288956091,2.2407047075956887,5.630610932514896,15.47549049722947,1.1203523537978444,17.29356081439821,3.012471341833796,3.0196079018984334,3.0078119412953983
2026-01-25,6.862384334341365,2.2593535063753465,3.75946974226048,1.5097548025721177,6.794117779271475,5.576504543259476,0.3787193296827127,3.0195096051442354,2.266759141119078,0.3775327857474238,11.361579890481384,12.836114715412412,2.6359124241045717,12.844968466341442,4.906862840584955,2.631835448633473,11.636595927197453,6.024632169793148,2.2723159780962767,14.685040913870797,3.022345521492104,5.069549584781342,6.416666791534171,1.1203523537978444,11.441767706313714,1.1072678425464884,3.765395106120717,11.437307223902277,9.632144211084553,1.5097548025721177,0.0,4.57492288956091,2.2407047075956887,5.255236870347236,15.47549049722947,1.1203523537978444,16.165719891720062,2.6359124241045717,3.397058889635737,2.631835448633473,6.862384334341365,2.2593535063753465,3.75946974226048,1.5097548025721177,6.794117779271475,5.576504543259476,0.3787193296827127,3.0195096051442354,2.266759141119078,0.3775327857474238,11.361579890481384,12.836114715412412,2.6359124241045717,12.844968466341442,4.906862840584955,2.631835448633473,11.636595927197453,6.024632169793148,2.2723159780962767,14.685040913870797,3.022345521492104,5.069549584781342,6.416666791534171,1.1203523537978444,11.441767706313714,1.1072678425464884,3.765395106120717,11.437307223902277,9.632144211084553,1.5097548025721177,0.0,4.57492288956091,2.2407047075956887,5.255236870347236,15.47549049722947,1.1203523537978444,16.165719891720062,2.6359124241045717,3.397058889635737,2.631835448633473
2026-02-01,6.862384334341365,2.6359124241045717,4.135416716486528,1.8871935032151472,7.171568767008779,5.576504543259476,0.3787193296827127,3.0195096051442354,2.6445523313055905,0.3775327857474238,10.604141231115957,13.213647501159834,2.6359124241045717,13.97834803690098,5.284313828322259,2.631835448633473,11.261221865029793,6.40117168040522,2.2723159780962767,16.567738466931154,3.022345521492104,5.069549584781342,6.416666791534171,1.1203523537978444,11.810856987162545,1.476357123395318,3.765395106120717,11.437307223902277,9.632144211084553,1.5097548025721177,0.187973487113024,3.8124357413007584,2.614155492194971,5.255236870347236,16.98529444817869,1.1203523537978444,16.541666865946112,2.6359124241045717,3.397058889635737,2.631835448633473,6.862384334341365,2.6359124241045717,4.135416716486528,1.8871935032151472,7.171568767008779,5.576504543259476,0.3787193296827127,3.0195096051442354,2.6445523313055905,0.3775327857474238,10.604141231115957,13.213647501159834,2.6359124241045717,13.97834803690098,5.284313828322259,2.631835448633473,11.261221865029793,6.40117168040522,2.2723159780962767,16.567738466931154,3.022345521492104,5.069549584781342,6.416666791534171,1.1203523537978444,11.810856987162545,1.476357123395318,3.765395106120717,11.437307223902277,9.632144211084553,1.5097548025721177,0.187973487113024,3.8124357413007584,2.614155492194971,5.255236870347236,16.98529444817869,1.1203523537978444,16.541666865946112,2.6359124241045717,3.397058889635737,2.631835448633473
2026-02-08,6.099897186081214,2.2593535063753465,3.75946974226048,1.8871935032151472,6.794117779271475,5.576504543259476,0.3787193296827127,3.0195096051442354,2.266759141119078,0.7550655714948477,10.982860560798668,13.968713072654682,2.6359124241045717,13.222761656527954,4.906862840584955,2.255858955971549,10.885847802862132,6.024632169793148,2.2723159780962767,14.308501403258726,3.400138711678617,5.069549584781342,6.794117779271475,1.1203523537978444,11.441767706313714,1.1072678425464884,3.765395106120717,11.437307223902277,9.632144211084553,1.8871935032151472,0.187973487113024,3.8124357413007584,2.614155492194971,5.630610932514896,21.137255313289035,1.1203523537978444,16.917613840172162,2.2593535063753465,3.7745098773730414,2.631835448633473,6.099897186081214,2.2593535063753465,3.75946974226048,1.8871935032151472,6.794117779271475,5.576504543259476,0.3787193296827127,3.0195096051442354,2.266759141119078,0.7550655714948477,10.982860560798668,13.968713072654682,2.6359124241045717,13.222761656527954,4.906862840584955,2.255858955971549,10.885847802862132,6.024632169793148,2.2723159780962767,14.308501403258726,3.400138711678617,5.069549584781342,6.794117779271475,1.1203523537978444,11.441767706313714,1.1072678425464884,3.765395106120717,11.437307223902277,9.632144211084553,1.8871935032151472,0.187973487113024,3.8124357413007584,2.614155492194971,5.630610932514896,21.137255313289035,1.1203523537978444,16.917613840172162,2.2593535063753465,3.7745098773730414,2.631835448633473
2026-02-15,6.862384334341365,3.012471341833796,4.511363690712577,1.5097548025721177,7.171568767008779,5.576504543259476,0.3787193296827127,3.0195096051442354,2.6445523313055905,0.7550655714948477,10.604141231115957,14.346245858402105,2.6359124241045717,13.97834803690098,4.906862840584955,2.631835448633473,10.885847802862132,6.024632169793148,2.2723159780962767,14.685040913870797,3.400138711678617,5.069549584781342,7.171568767008779,1.4938031383971262,11.810856987162545,1.1072678425464884,3.765395106120717,10.674820075642124,9.632144211084553,1.5097548025721177,0.187973487113024,3.8124357413007584,2.614155492194971,5.255236870347236,16.98529444817869,1.1203523537978444,16.917613840172162,3.012471341833796,4.151960865110346,3.0078119412953983,6.862384334341365,3.012471341833796,4.511363690712577,1.5097548025721177,7.171568767008779,5.576504543259476,0.3787193296827127,3.0195096051442354,2.6445523313055905,0.7550655714948477,10.604141231115957,14.346245858402105,2.6359124241045717,13.97834803690098,4.906862840584955,2.631835448633473,10.885847802862132,6.024632169793148,2.2723159780962767,14.685040913870797,3.400138711678617,5.069549584781342,7.171568767008779,1.4938031383971262,11.810856987162545,1.1072678425464884,3.765395106120717,10.674820075642124,9.632144211084553,1.5097548025721177,0.187973487113024,3.8124357413007584,2.614155492194971,5.255236870347236,16.98529444817869,1.1203523537978444,16.917613840172162,3.012471341833796,4.151960865110346,3.0078119412953983
2026-02-22,6.862384334341365,2.6359124241045717,4.511363690712577,1.8871935032151472,6.794117779271475,5.576504543259476,0.3787193296827127,3.0195096051442354,2.266759141119078,0.3775327857474238,10.225421901433243,14.346245858402105,2.6359124241045717,13.97834803690098,5.284313828322259,2.631835448633473,10.135099678526814,6.40117168040522,2.651035307778989,14.685040913870797,3.400138711678617,5.069549584781342,7.549019754746083,1.1203523537978444,12.179946268011374,1.1072678425464884,3.765395106120717,11.437307223902277,9.632144211084553,1.8871935032151472,0.187973487113024,3.8124357413007584,2.614155492194971,5.630610932514896,31.328431982196246,1.1203523537978444,16.541666865946112,3.012471341833796,4.529411852847651,3.0078119412953983,6.862384334341365,2.6359124241045717,4.511363690712577,1.8871935032151472,6.794117779271475,5.576504543259476,0.3787193296827127,3.0195096051442354,2.266759141119078,0.3775327857474238,10.225421901433243,14.346245858402105,2.6359124241045717,13.97834803690098,5.284313828322259,2.631835448633473,10.135099678526814,6.40117168040522,2.651035307778989,14.685040913870797,3.400138711678617,5.069549584781342,7.549019754746083,1.1203523537978444,12.179946268011374,1.1072678425464884,3.765395106120717,11.437307223902277,9.632144211084553,1.8871935032151472,0.187973487113024,3.8124357413007584,2.614155492194971,5.630610932514896,31.328431982196246,1.1203523537978444,16.541666865946112,3.012471341833796,4.529411852847651,3.0078119412953983
